Node	x	y
0	0.2109	0.0554
1	0.0517	0.2001
2	0.2584	0.3119
3	0.3261	0.5616
4	0.0469	0.6134
5	0.6192	0.9149
6	0.1214	0.5456
7	0.9977	0.1578
8	0.8031	0.4655
9	0.4658	0.972
10	0.7223	0.2398
11	0.0032	0.8871
12	0.971	0.3345
13	0.8479	0.22
14	0.1688	0.7846
15	0.9125	0.1705
16	0.2466	0.8393
17	0.0476	0.5901
18	0.1549	0.0881
19	0.9962	0.8715
20	0.1605	0.4882
21	0.6054	0.077
22	0.2986	0.8061
23	0.1719	0.288
24	0.7388	0.2822
25	0.729	0.2072
26	0.6945	0.9651
27	0.5983	0.1881
28	0.574	0.7012
29	0.2521	0.2278
30	0.9185	0.9057
31	0.7415	0.5012
32	0.8253	0.1067
33	0.1712	0.0989
34	0.9911	0.2881
35	0.7967	0.9522
36	0.997	0.3993
37	0.1086	0.1365
38	0.1929	0.9144
39	0.2333	0.322
40	0.3711	0.6225
41	0.1052	0.7566
42	0.4765	0.6115
43	0.4954	0.9327
44	0.5051	0.1034
45	0.0315	0.723
46	0.962	0.5371
47	0.2106	0.0838
48	0.21	0.0888
49	0.6292	0.6799
50	0.2037	0.9255
51	0.022	0.1678
52	0.0617	0.2787
53	0.4357	0.3369
54	0.9721	0.8315
55	0.9162	0.8227
56	0.8307	0.5753
57	0.8871	0.0622
58	0.0581	0.4875
59	0.5557	0.0338
60	0.9013	0.5681
61	0.0877	0.7615
62	0.1723	0.1716
63	0.8605	0.3412
64	0.0735	0.574
65	0.9308	0.6815
66	0.0134	0.4519
67	0.9546	0.1373
68	0.4935	0.1129
69	0.912	0.8435
70	0.3002	0.3
71	0.6607	0.8251
72	0.805	0.4071
73	0.8786	0.273
74	0.1796	0.1913
75	0.0846	0.5599
76	0.2674	0.1873
77	0.3171	0.3523
78	0.4154	0.1025
79	0.4227	0.834
80	0.1198	0.8179
81	0.6759	0.6552
82	0.0277	0.0698
83	0.3596	0.7782
84	0.3502	0.2569
85	0.7654	0.2923
86	0.9138	0.027
87	0.0005	0.9627
88	0.9666	0.6834
89	0.9199	0.0628
90	0.7651	0.5725
91	0.8291	0.595
92	0.9764	0.0942
93	0.5937	0.4548
94	0.8694	0.471
95	0.6805	0.9492
96	0.3952	0.54
97	0.7751	0.4376
98	0.1626	0.7308
99	0.0534	0.3543
100	0.2276	0.516
101	0.4283	0.6195
102	0.7476	0.8881
103	0.0705	0.996
104	0.7412	0.1244
105	0.2478	0.4027
106	0.0926	0.7396
107	0.3376	0.9348
108	0.6246	0.0135
109	0.5351	0.2164
110	0.6412	0.3802
111	0.1562	0.5727
112	0.2156	0.6305
113	0.6397	0.4317
114	0.1307	0.2689
115	0.661	0.0073
116	0.842	0.4169
117	0.8859	0.8739
118	0.2611	0.6979
119	0.9136	0.6621
120	0.4285	0.3789
121	0.7239	0.0361
122	0.4636	0.2212
123	0.2711	0.3765
124	0.0114	0.982
125	0.4991	0.9824
126	0.3927	0.6045
127	0.9382	0.8567
128	0.1794	0.8646
129	0.3736	0.1908
130	0.3499	0.5606
131	0.6382	0.805
132	0.1233	0.6858
133	0.8861	0.3753
134	0.7741	0.7004
135	0.0542	0.1234
136	0.518	0.9452
137	0.3292	0.3248
138	0.243	0.2478
139	0.3956	0.5308
140	0.2507	0.9225
141	0.7969	0.8893
142	0.7231	0.3372
143	0.8207	0.9696
144	0.1831	0.0578
145	0.0019	0.0094
146	0.5205	0.2708
147	0.678	0.2687
148	0.3394	0.3775
149	0.8436	0.2438
150	0.4002	0.5965
151	0.583	0.6914
152	0.6242	0.5912
153	0.5602	0.3648
154	0.1053	0.0989
155	0.3385	0.3953
156	0.8415	0.5336
157	0.8735	0.9082
158	0.5823	0.0459
159	0.2796	0.9993
160	0.3354	0.5506
161	0.0663	0.4678
162	0.7443	0.6092
163	0.3554	0.9407
164	0.7926	0.7341
165	0.1916	0.0712
166	0.747	0.7936
167	0.0798	0.9214
168	0.6463	0.9502
169	0.8558	0.9089
170	0.0955	0.1235
171	0.1179	0.1816
172	0.2587	0.8562
173	0.3057	0.5798
174	0.2612	0.4725
175	0.109	0.7484
176	0.0709	0.1839
177	0.4077	0.1607
178	0.4529	0.2023
179	0.0445	0.4484
180	0.0501	0.9865
181	0.0533	0.7957
182	0.6865	0.9963
183	0.4968	0.2512
184	0.7023	0.8401
185	0.9282	0.0313
186	0.1588	0.9175
187	0.5429	0.2867
188	0.7606	0.8477
189	0.5363	0.7346
190	0.5935	0.7248
191	0.9425	0.35
192	0.1095	0.0073
193	0.3375	0.6394
194	0.2611	0.2186
195	0.2144	0.5433
196	0.968	0.6819
197	0.5158	0.0204
198	0.993	0.4858
199	0.6965	0.8317
